Year,Temperature °C
1968,16.6
1969,16.6
1970,17.9
1971,17.9
1972,17.2
1973,17.8
1974,18.1
1975,17.5
1976,16.7
1977,16.7
1978,17.5
1979,17.5
1980,16.6
1981,17.6
1982,16.9
1983,16.3
1984,17.2
1985,17.4
1986,17.3
1987,16.8
1988,17.2
1989,17.7
1990,17.4
1991,16.5
1992,16.2
1993,16.4
1994,16.6
1995,17.2
1996,17.1
1997,NA
1998,17.6
1999,NA
2000,17.3
2001,NA
2002,NA
2003,17.3
2004,NA
2005,17.3
2006,16.8
2007,17
2008,17.5
2009,NA
2010,17.4
2011,17.7
2012,17
2013,17.5
2014,17.4
2015,17.3
2016,17.5
2017,17.4
