"year"	"month"	"SST_degC"
1940	1	19.7438735720458
1940	2	20.9261780145595
1940	3	19.2986690806064
1940	4	18.6236332804179
1940	5	15.8768538071945
1940	6	14.6647515195112
1940	7	13.5244990655949
1940	8	13.0433255776193
1940	9	14.1107584454111
1940	10	15.1578265136935
1940	11	15.838504509417
1940	12	17.5547898637424
1941	1	18.4086127349485
1941	2	19.5990278335438
1941	3	18.9923154949129
1941	4	18.1070197517377
1941	5	15.7877247496014
1941	6	15.521836285011
1941	7	13.5438941127467
1941	8	12.9923694991932
1941	9	12.8680648788111
1941	10	14.7794467756226
1941	11	15.8023591942705
1941	12	16.8441377042387
1942	1	18.6288346794268
1942	2	19.3187694022001
1942	3	19.8412896043311
1942	4	18.4456396431474
1942	5	17.3502602755959
1942	6	15.9535524027494
1942	7	13.7349353271921
1942	8	13.1781211553245
1942	9	13.7557409232276
1942	10	15.8541087064438
1942	11	17.5118562820927
1942	12	18.2768145736214
1943	1	20.1182861413811
1943	2	19.9979486897346
1943	3	20.1668619185659
1943	4	18.5950696655216
1943	5	16.5978206054106
1943	6	15.2667032556594
1943	7	14.1744094637912
1943	8	13.7493934532507
1943	9	13.2469735727134
1943	10	14.3746192459811
1943	11	16.9254205836659
1943	12	19.3986417327435
1944	1	20.2835848386977
1944	2	21.101526872673
1944	3	20.8460412061004
1944	4	19.7785201790034
1944	5	16.8892752685194
1944	6	15.4352638472697
1944	7	14.0116673863264
1944	8	12.8878125631838
1944	9	12.8234562703619
1944	10	15.1358748466899
1944	11	16.2491505532041
1944	12	18.4303880833416
1945	1	19.5322030801753
1945	2	20.8985841520208
1945	3	20.1092938922471
1945	4	18.4465212361997
1945	5	16.7750208089341
1945	6	14.8175315954844
1945	7	13.228460118614
1945	8	12.9835535686696
1945	9	13.6093083172314
1945	10	14.7714242788462
1945	11	16.9244508313083
1945	12	18.1578876708586
1946	1	19.7916559154835
1946	2	20.6012228154613
1946	3	19.8338842226913
1946	4	19.2835938394111
1946	5	16.8536589092042
1946	6	14.8564098490932
1946	7	14.2171667268304
1946	8	13.1739776679784
1946	9	13.9676758930138
1946	10	14.3922511070282
1946	11	15.8615140880835
1946	12	18.0101326752839
1947	1	19.617805765559
1947	2	20.5689565097451
1947	3	19.1374257113306
1947	4	19.0818853490322
1947	5	16.8092266193655
1947	6	14.9600851920502
1947	7	13.3155615121866
1947	8	13.5404558998425
1947	9	13.1666604456438
1947	10	15.1131297459391
1947	11	16.9854570705313
1947	12	18.955288586714
1948	1	20.6964348651157
1948	2	21.4962160822124
1948	3	20.4688956983028
1948	4	18.9100628631282
1948	5	16.9386444794512
1948	6	14.7203800411148
1948	7	13.7957652478046
1948	8	13.9505729877982
1948	9	13.7415472750847
1948	10	14.9840645230743
1948	11	16.7941513781702
1948	12	18.7701540457194
1949	1	20.2886980784014
1949	2	20.8475399142894
1949	3	20.0572799021581
1949	4	18.8856427355779
1949	5	17.0372065827046
1949	6	15.2572702099992
1949	7	14.3795561670743
1949	8	13.0472927463549
1949	9	15.3755799976253
1949	10	15.6326525316921
1949	11	17.6388056816318
1949	12	18.7806450030424
1950	1	20.4811498417305
1950	2	20.0870777473277
1950	3	20.4294003295573
1950	4	18.957933365871
1950	5	17.4377143063896
1950	6	15.6512541450968
1950	7	14.9894422406937
1950	8	14.5951056683751
1950	9	14.0487824538306
1950	10	15.7076761004475
1950	11	17.0489317703009
1950	12	18.9252262636286
1951	1	20.7897074100549
1951	2	20.5753039797221
1951	3	20.7233234532125
1951	4	18.9061838536978
1951	5	17.1988907485065
1951	6	15.3345859206908
1951	7	14.1407326091912
1951	8	13.4418056372839
1951	9	14.4813801646213
1951	10	14.6534671284411
1951	11	16.6544188793719
1951	12	18.2154556971774
1952	1	19.6314704578705
1952	2	20.6612593023267
1952	3	20.7062205479968
1952	4	18.8842321866941
1952	5	18.077574543789
1952	6	15.73668051187
1952	7	13.8248578185323
1952	8	13.5185042328388
1952	9	13.7008176760659
1952	10	15.5025293971645
1952	11	16.9684423246208
1952	12	18.4540147771447
1953	1	19.7608883179563
1953	2	20.2418854873213
1953	3	20.2203746168438
1953	4	18.4042047696867
1953	5	16.5011098475673
1953	6	15.9368902940599
1953	7	14.7750388103608
1953	8	13.7340537341397
1953	9	14.3387384087502
1953	10	15.3087552442567
1953	11	17.3262809445719
